SentimentText,Sentiment
"sequel ever popular Cinderella story reminded somewhat one Beauty & Beast movies. It's basically three short stories rolled 1.<br /><br />OK, mice adorable (I love Gus! He's sooo cute!), Lucifer's awesome (as usual). liked newer characters well, (Pom Pom adorable like Prudence.). Still, storyline somewhat limited, still cute. So, vote 7/10.",1
"fans 1970s Hammer type horror films, movie treat. thing didn't like film fact Peter Cushing wasted worst episode. general, however, solid, spooky little movie. Amicus' best film, it's certainly one them. best episode, rightfully saved last, one featuring Jon Pertwee horror film actor--it really excellent. good Pertwee role, it's hard believe didn't types movies. all, entertaining movie, scared heck child, still gives creeps day.",1
"I'm home, flipping channels one night, come across man wearing heels makeup, standing front colored background HBO. Naturally, double-take decided I'd watch little while. didn't change channel finished, incredibly hilarious. next time on, made sure tape could watch again, remained one favorite things watch. first couple minutes, tell audience isn't quite sure think, quickly wins incredible humor wit. many stand-up comedians mesh together brain, Eddie Izzard stands one best. style incredibly refreshing, nice hear jokes things like history puberty comedians stick current events. show stayed afterwards. went Italy summer, could think ""Italians always scooters going 'CIAO...'"" 10 10. See it. won't regret it.",1
"watching movie one usual time, real real late night. Usually movie doesn't interest me, start falling asleep raid fridge stay awake.<br /><br />At first thought that's since movie's pacing started slow, along fact shots tended linger character long time. bit, start getting movie, revealed main character story telling. end, feel like you've known whole life. movie kept interest much didn't even know sun rise.<br /><br />Not much Lynch's bizzare style, enough quirky characters make film amusing.",1
"enjoyed Night Listener much. It's one better movies summer.<br /><br />Robin Williams gives one best performances. fact, entire cast good. played right notes characters - much little. Sandra Oh adds wonderful comic touch. Toni Collette great Mom, never goes top. Everyone believable.<br /><br />It's short movie, hour half. noticed general release version nine minutes shorter Sundance version. wonder disturbing images cut movie.<br /><br />The director told story straightforward fashion, refreshing change many directors days seem think job impress audience rather tell story tell well.<br /><br />Do sucker punched previews ads. Hitchcockian thriller. See Night Listener want see good story told well. go expecting Hitchcock disappointed.<br /><br />My complaint movie ending. director could left little audience's imagination, minor quibble.",1
"Syriana swept critics upon release everything seemed raving it. suppose it's one films intensely intelligent...so intelligent think need well versed oil industry politically brilliant mind. don't consider unintelligent, I've studying politics since early teens enjoy intelligent film part unless it's documentary films meant primarily entertaining well message. Syriana tried strictly intelligent turn people away. would even go far say rave insist it's 10/10 lying think look better. film confusing, senseless, mindless dribble seen awhile...Especially considering critical acclaim, Oscar nods, cast. Screenplay writer Stephen Gaghan disappointed yet again. horribly written Havoc preceded film think he's trying way hard. can't believe offered opportunity write Da Vinci Code screenplay. top Gaghan directed film made absolute mess. idea anyone was, things happening, what. disaster.<br /><br />Because don't really know anyone mention actors thought performances despite horrendously complicated script actors alright. George Clooney plays C.I.A. field agent assassin think?? Bob Barnes. Clooney never favorite mine lately he's managed churn decent performances seemed pretty good performance part. Barnes complex character sordid history knew going would really enjoyed character. Matt Damon plays Bryan Woodman rather bland always looks like deer headlights understand confusion reading script trying perform it. Amanda Peet plays wife well scenes given. Christopher Plummer makes cameo appearance someone something. like Plummer love seeing show even doesn't get top billing anymore.<br /><br />The cast intense story made sense. I'd like exact quote description plot IMDb. ""A missile disappears Iran, CIA problems: heir Emirate gives oil contract China, cutting US company promptly fires immigrant workers merges small firm landed Kazakhstani oil contract. Department Justice suspects bribery, oil company's law firm finds scapegoat. CIA also needs one plot kill Emir-apparent fails. Agent Bob Barnes, fall guy, sorts double cross. American economist parlays death son contract advise sheik CIA wants dead. jobless Pakistanis join fundamentalist group. roads start end oil fields."" WHAT!?!? Say now?? Syriana might thinking man's movie bored tears matter hard tried stay eventually surrendered turned hour half couldn't bribed enough get finish it. suppose want form opinion means watch promise someone looking entertainment enjoyable film asleep first half hour. 1/10",0
"Carlo Verdone managed combine superb comedy smart subtle social analysis criticism.<br /><br />Then something happened, turned another dull ""holier-than-thou"" director.<br /><br />Il Mio Miglior Nemico less summarized one line ""working class = kind warm, upper-class = snob devious. love wins end"".<br /><br />Such trite clichÃ¨ smart director.<br /><br />There isn't really much talk movie. Every character walking stereotype: self-made-man forgets roots who'll become ""good"" again, scorned wife, rebellious rich girl falls honest-but-poor guy... Acting barely average.<br /><br />Severely disappointing every aspect.",0
"Crater Lake Monster easily one awful, amateurish film I've ever seen - ranking right Manos, Hands Fate terms poor acting, useless direction, kindergarten-level production values. movie silly-looking claymation/stop-motion animated dinosaur wakes meteor hits lake Bumblebum, CA, begins dining local hayseeds. thrilling climax, creature, described one local ""a giant alligator flippers"", drags it's ponderous bulk ground chase would-be lunch, bulldozer bumps couple times & dies boredom. Every character moovie complete moron. One pointless subplot shows hick go liquor store purchase $4.75 pint Ripple; instead simply buying bottle, idiot shoots cashier another bystander, shoots cop, gets chased towards lake, eaten monster. Unfortunate close-ups monster reveal nothing piece styrofoam. There's fake magician struggling phony British accent (to make seem legit), two overly-bumbling redneck boat renters, cheesy ""pre-historic cave art"" done crayon, annoying banjo-pickin' background moosic. one painful scene, fake magician dopey wife/girlfriend/accomplice manage pad movie extra 4 minutes cowmenting may stars see night sky, even though clearly day time still. Even constant fast-forward, moovie hurts, hurts bad. MooCow says call fumigators, 'cause cow pie really stinks! :=8P",0
"bad frame mind first saw movie. reason clicked levels, tensions family, loneliness want someone share life with. didn't hurt someone share life beautiful girl Claire (Cyndy Preston). also bought sound track movie (very hard get). Loved hope someday come DV",1
"remember originally seeing film Radio City Music Hall came out. didn't really understand humor back then, movie make laugh loud.<br /><br />With due respect George Burns (RIP), Walter Matthau really deserved Oscar film. performance amazing--given fact 20 years younger character, Willie Clark. mannerisms first-rate. (""You know kind songs wrote? Sh*t!"" speaking Spanish-speaking guy front desk: ""No! No! enchilada!!"") Absolutely hilarious!<br /><br />Kudos Richard Benjamin, played straight man Matthau.<br /><br />I wish DVD, VHS recording getting bit old.<br /><br />I interest seeing remake Woody Allen, way match original.",1
"can't say much film. think speaks (as current ratings here). rented two years ago totally regretted it. even /tried/ like watching twice, couldn't. safely say absolutely desire see waste time ever, ever again. I'm one trash movie, truly believe awful. wasn't even funny slightest. bits enjoyed scenes Christopher Walken them. think film ruined Jack Black Ben Stiller me. think see one films now-a-days terrible movie, reminds waste money. Amy Poehler annoying, too.<br /><br />Overall, well, think get point. stars Walken, way.",0
"Medellin fabulous place live, work, study. I've twice, never hear anything guerrilla activities, paramilitaries taking tourists hostage, anything sort. ""invisible police,"" *not* Big Brother system. enough police visible everyday life, hassle someone without good reasons.<br /><br />La Sierra interesting documentary youths depicts movie essentially become characters. directors movie carefully carve plot lines among daily actions inhabitants La Sierra, ""character"" dies, genuine pathos. difficult imagine, however, three youths members Bloque Metro, gang used terrorize La Sierra Colombian government began restructure country.<br /><br />La Sierra accurate depiction life Colombia; are, course, things wary petty crime, one considers pickpocketing happens ""modern"" cities London, New York, Tokyo, Colombia doesn't seem different all. Colombians eagerly awaiting chance show world war-torn country prospering ever.",0
"think movie kind weird. opening scene, person killed reason. doesn't get mentioned again. special effects could also better enjoyed watching older horror movie. isn't best example classic horror movie still alright movie. give 5 10 scale.",1
"Michael Jackson would claimed spot top-billed character GOLDEN CHILD, loves kids. didn't work (and it?), instead Eddie Murphy save world rescuing ""Kid Midas"". would strongly suggest future scriptwriters please thoroughly study actor's inane dialogue quirky fantasy - adventure - comedy that's step closer ISHTAR. Whatever Murphy says best liked, don't get wrong exquisite comical talent; doesn't belong movie, went DR. DOLITTLE! violence visuals combined reasons stamp cult camp classic, wouldn't made sense Hollywood movie fanatics kept cashing guy. Speaking visuals, pulled amazingly well time Ronald Reagan's presidential fame. Murphy far better COMING AMERICA 48 HRS, stale movie isn't touch golden honey sweet crunchy taste.",0
"time period exhaustively covered television (or media general) 1960s? No. really need yet another trip turbulent time? really. must one, shallow ""The '60s""? <br /><br />I like think co-writers Bill Couturie Robert Greenfield mind two-part miniseries ultimately resulted, especially given Couturie's involvement superb HBO movie ""Dear America: Letters Home Vietnam"" utilized little original music original footage, letting sights sounds time speak themselves. presentation intercuts file footage dramatic production, doesn't anyone favours trying much little time; like many ilk, it's seen point view one family. children family seem involved tangentially almost every major event '60s (it's amazing one doesn't go Rolling Stones gig Altamont), making seem less like period drama like Cliff Notes version decade.<br /><br />The makers rush much there's little time give characters character, stick figures called protagonists screen ages time - children's father especially clichÃ©d - they're back BLAMMO! it's something else. Garry Trudeau could teach filmmakers thing two kind thing properly. fairness, Jerry O'Connell, Jordana Brewster, Jeremy Sisto, Julia Stiles Charles S. Dutton give material old college try, they're wasted (especially latter two); it's undeniably good see David Alan Grier rare straight role activist Fred Hampton, Rosanna Arquette (in uncredited cameo part 2) always welcome.<br /><br />What isn't welcome ""The '60s"" drowns soundtrack many period songs ultimately reduces already minimal effect (and may well time American TV presentation post-60s America never mentions British Invasion - Beatles, Rolling Stones... again, there's much tunes shoehorn soundtrack album, right?). Capping surface-skimming approach time plot almost out-of-place happy ending, ""American Dreams"" ""The Wonder Years"" much, much better. Nothing see can't see elsewhere, people... except Julia Stiles twist, is.",0
"Barry Levinson possibly assemble white-hot comedy talents Ben Stiller Jack Black, gorgeous Rachel Weisz, old pro Christopher Walken still deliver humourless stinker?<br /><br />Stiller Black friends latter invents spray make dog mess vanish becomes conspicuous consuming multi-millionaire.<br /><br />The premises thin sound enough right hands springboard great bitching two stars concerned overplay every hand, every chance can.<br /><br />Stiller Black simply funny way much time, Weisz looks sensational always criminally underused and, exception Walken batty barfly urges Stiller's character take revenge, it's turgid trudge end strained farce.",0
"film complete re-imagining Romeo Juliet Tel Aviv Nablus. lovers one Tel Aviv et Nablus. border them, constant state war Israeli army ever present everywhere Palestinian militants everywhere else bombs. situation bleak enough. imagine love enormous loveless trap. film goes several light years imagining two lovers gay, Noam Tel Aviv Ashraf Nablus. gay accepted Tel Aviv. limits Nablus. conflict two peoples, two communities thus doubled conflict two cultures, two ethics. could even livable war bring extra dimension. Ashraf's sister going get married militant activist Nablus. Ashraf finally tells sister gay. cannot accept accepts speak later. wedding newly married husband sends commando Tel Aviv set bomb attack. takes place cafÃ© Tel Aviv one friend Noam's severely wounded. Bad enough. Isareli army sends commando Nablus arrest person responsible attack, turns sour newly married wife shot dead street. funeral follows wedding. husband widower volunteers suicide bomb attack. Ashraf volunteers take place. exiled lover comes back Tel Aviv die kill people avenge sister. arrives diner managed friends Noam's. Noam sees gets speak him. Ashraf moved back middle street detonates bomb Noam reaches street. vengeance reunites two lovers death. thus dual conflict Prince Verona, neutral character impose peace, even worse Prince seems chosen sides side Israel. game entirely false death sure sides. dimension impossible love stronger redoubled play film, play shows love Auschwitz, two prisoners, one wearing yellow star pink triangle. strikingly strong breathtakingly shocking: gay love Auschwitz. comes film Tel Aviv Nablus love impossible. film thus denunciation conflict Palestine cannot continue though reason even exist though thousands reasons go on. never let Great Britain deal region long time ago. Today find solution one humiliated. able succeed everyone comes together order find lasting solution. far everyone trying avoid general confrontation discussion preferring bilateral manipulations. suffering go love forbidden, course sex since children needed war go on: let's procreate little soldiers. love extra-terrestrial concept.<br /><br />Dr Jacques COULARDEAU, University Paris Dauphine & University Paris 1 Pantheon Sorbonne",1
"saddest thing ""tribute"" almost singers (including otherwise incredibly talented Nick Cave) seem missed whole point Cohen's intensity lies: delivering lines almost tuneless poise, Cohen transmits full extent poetry, irony, all-round humanity, laughter tears one.<br /><br />To see singer upstarts make convoluted suffering faces, launch pathetic squeals patent effort scream ""I'm singer!,"" true pain. It's feeling many probably listening horrendous operatic versions simple songs Lennon's ""Imagine."" Nothing, simply nothing gets close simplicity directness original. form art doesn't need embellishments, it's Cohen's art. Embellishments cast street looking like tasteless make-up sex sale.<br /><br />In Cohen's tribute found suffering suffering pitiful tributes awful reinterpretations, entirely lacking original irony master and, truth told, several singers sounded recruited asylum talent show. It's Cohen tribute letting sing material, really, way around: may friends, daughter's, could become tender-hearted mood gift. bad didn't stay family.<br /><br />Fortunately, end, Cohen performed majestic ""Tower Song,"" even flower spoiled totally incongruous background U2, carrying expression bored kids visit poor grandpa nursing home.<br /><br />A sad show, really, sadder truly love Cohen do.",0
"powerful start film Julia Roberts character punched face abusive anal husband played Patrick Bergin felt ready experience powerful film level Farrah Fawcett's Burning Bed. Well, summary says mis-lead. film nothing like Burning Bed, power Farrah played part woman truly felt for, felt pain need survive. Sleeping Enemy drifted first act cheap thrills Roberts faking death escape husband goes live Iowa. husband first believes dead starts grow suspicious may still alive sets her. rest movie basically cat mouse game Julia getting house small town Iowa changing identity....there mention course got money point film care much. meets guy (Mr. Nice wimpy) falls husband finally catch re-arranges soup cans straightens kitchen. assume provide cheap thrill audience. care much abused wife film said cheated audience. stayed course might felt situation. course husband killed well little ol Ms Roberts. real world anything close this....See Burning Bed understand film suppose like subject domestic abuse.",0
"FLIGHT FURY takes mantle WORST Steven Seagal flick I've ever seen...Up now.<br /><br />It's dreadful bore action scenes interest, Seagal isn't really trying - he's fat voice dubbed more.<br /><br />The Co-stars fare better, rather sorry load 3rd raters.<br /><br />The Direction Keusch poor comes surprise he's also responsible another couple Seagal stinkers (SHADOW MAN & ATTACK FORCE) screenplay Co-written Seagal laughably inept.<br /><br />According IMDb $12M spent boring load old tosh - figures correct sense big tax fiddle nowhere near amount spent.<br /><br />FLIGHT FURY actually shot shot remake Michael Dudikoff flick BLACK THUNDER - better tripe.<br /><br />This redeeming qualities whatsoever,Give MISS! 1/2 * *****",0
"think sixties kind thing, am, obligated waste 80 minutes life watching barely watchable trainwreck. saving graces oddity include surprisingly apt social commentary sixties values along number relatively well known actors caught early (and embarrassing) footage. It's producers Laugh-In sat decided write full length film, covering high points (and more) issues flower children establishment, put hands couple hippies gave $10,000 budget complete it. Hardly classic, way capture truly strange time was, silliness, over-idealism, uptightness establishment. Clearly everyone.",0
"movie good story, brought didn't enough horror film elements violence. like watching live action cartoon. would better story planned start first movie could played seeds series going.",0
"got see whole movie last night found exciting.it least,not like teen-slasher movies pop every then.the search killer 'partner' relationship hero&the so-called bad guy parts liked movie.also,i remember edge seat specific scene movie.i mean it's exciting.maybe time later,i might watch movie again...",1
"watched movie second time, enjoyed much first time. emotional beautiful movie, good acting great family values. Inspiring touching!",1
"First all, movie reminded old movies used watch religion class school. That's good thing. Basically, it's preachy pretentious piece filth, like terrible ""Left Behind"" series. I'm offended religious movies... offended religious movies happen extremely awful. would like able say nice things christian movie doesn't look like happen time soon. bet gave bible thumpers decent budget, still wouldn't able come anything good. avoid one. Also, fact ""American Family Association"" (basically, Reverend Wildmon's lackies) beam film website another reason make hate it. fact, viewed this, went home watched copy David Cronenberg's NC-17 rated ""Crash"". Forgive father sinned. Hahahahaha!",0
"I've going AFI's list top 100 comedies, must say truly one worst. 90 movies list I've seen, movie I've ever seen. Drunks funny sometimes, Dudley isn't. Liza almost made worthwhile, alas... go watch Arrested Development want see something good. Seriously, Dudley laughing drinking supposed funny? would highly recommend almost movie AFI's top 100 comedies laughs this. want see funnier ""drunk"", try Thin Man. Funnier movie general, Marx Brothers movie kill (especially you're drunk Arthur).",0
"movie one provocative Jesus movies ever seen. seek tell whole story, portray interpretive expression last day Jesus Christ. darkly witty, playful seriously faithful elements Jewish tradition modern scriptural interpretation. Judas much ordinary portrayals, dark sinister evil sometimes imagine, grossly mistaken man, horribly misguided zeal. Chris Saranden's Jesus playful serious, faithful committed--very human also divine. final dialog thoughtfully done serves kind small talk two powerful men might committed atrocity. would watch movie recommend others.",1
"Actually vote 7.5. Anyway, movie good, funny parts make deserve see it, don't misunderstand me, funniest movie world, even original idea seen movies, one taste, friend mine told film boyfriends... think exactly cares? Also another movie show us almost topic, Chris Rock appears it, name Earth, men, one funny movie, see want know agree Mr. Rock movie. would liked protagonist male character given Ashton Kutcher, however, film good.",1
"simply astonishing movie ever see. thought another documentary, really something else. doesn't try teach anything, shows life works nature.<br /><br />I won't talk quality pictures, obviously know comments unmatched.<br /><br />Earth funny, tense sad. make laugh, make cry. Sometimes time. first movie made cry, feel sorry animals, come realise fragile planet treasure blessed with, yet don't appreciate one bit.<br /><br />This movie shown obligatory schools. wonderful film ever see, go see it. knows, maybe last time might see planet like this...<br /><br />10/10, would easily rate possible.",1
love watch movie lot scary scenes raptors. like raptors scary. favorite parts ones raptor looks behind pillar reminds scene Friday 13th movie girl eats banana.<br /><br />I really love watch lot movie computer graphics seem little fake it's okay get movie hardly even notice going think it's got good ending even though didn't really understand going first couple viewings figured time that's important part. important part scary dinosaurs you're watching first time.<br /><br />THIS BEST MOVIE.,1
"Wow...<br /><br />I picked local Wal-Mart reading online released early. I've following online time, buy film.<br /><br />Wow...<br /><br />I guess thing really struck editing, lack thereof. Time again, characters (usually Narrator whoever with) shown walking...and walking...and walking. editor, know cut someone leaving point show arriving point B. need show almost entire journey! Wow...<br /><br />I actually ended feeling somewhat sorry actors involved this. seem given direction scenes look scared look happy, depending action added later date.<br /><br />Wow...<br /><br />Why decided almost effects using CG beyond me. Even ILM still employs miniatures sometimes. One distracting uses green screen film constant rushing (according end credits) group people representing citizenry different towns cities, including London. times folk coming going regard angle shot distance camera. one shot London, appear least two men six feet tall walking behind narrator's brother (played star Anthony Piana without distracting mustache). since GETTYSBURG seen fake piece facial hair.<br /><br />Wow...<br /><br />Why Timothy Hines talked film way beyond me. turkey, plain simple. plus side (at least me) provided genuine laugh-out-loud bits hilarity seen quite while.",0
"appreciated photography, textures, colours often, unlike one comment, lighting. lacking coherent storyline.I found often disjointed, badly edited times difficult follow. version 110 minutes, IMDb shows one 125m. Possibly cuts subtitles didn't help. applaud films escape Hollywood mould left disappointed. Miss Gillain luminous performances fine, wanted little dialogue. anyone would like see another film affinity one, try 'Hideous Kinky'with Kate Winslet.",1
"Bill essentially cultural fountain beautiful rainbow-haze socio-introspection emerged, inspiring famed derivatives Cop Land, Departed, Godfather 3, recently course, Wire.<br /><br />With multi-faceted characters story lines described '4-dimensional Shakespeare', Bill grabbed collars episode one would let go.<br /><br />The show covered, anticipated, even occasionally caused major global events 1984 2010. famously prescient moment episode 19 series 5, aired eve second Gulf War. Detective Jim Carver's misguided - ultimately career ending - drugs raid Craig 'Fun Boy' Richardson's flat Jasmine Allen Estate early 2003, widely viewed predictive allegory coalition's failure find weapons mass destruction following invasion Iraq several months later.<br /><br />However, work Bill try highlight lesser-known problems experienced police officers praise. sympathetic drama covering sensitive areas helmet-phobia, under-uniform cross-dressing, in-van homosexuality, lost truncheons, casual drunken bestiality (regretted), siren aversion syndrome (SAS), groin chaffing caused chasing suspects wearing overly starched uniform many, many issues still trouble, disturb, haunt excite officers day.<br /><br />The last word go one Bill's famous fans, Nelson Mandela: ""Â exaggeration say would made dark void loneliness summed last years incarceration Robben Island wasn't heart-warming, casual buffoonery Reg Hollis.""",1
"Steven Seagal....how could part awful film? rented movie movies usually pretty clean. lost lot respect awful movie one. Very, poor taste! embarrassed even rented movie. Steven, keep acting movies like one, believe career over. husband enjoyed watching many movies always ""get bad guy"" hand maneuvers make clean...and also language pretty clean movies...but one something else. think twice rent another movie yours.",0
"loss passing director Emile Ardolino was! could take light script and, right casting editing, put twinkle make shine like star. particular star may brightest sky great romances go, definitely one keeps tuned end. really want know things going work out.<br /><br />The script perfect Cybill Shepherd, time needed capitalize ""Moonlighting"" success new generation (fortunately her) probably unaware many big screen major duds promising start. film she's every bit back form still-pining widow living vicariously daughter (Mary Stuart Masterson cusp stardom would peak ""Fried Green Tomatoes"" two years later). may looked young role, works well way story unfolds. film, doesn't overstep bounds lead.<br /><br />SHepherd graciously allows Robert Downey Jr. carry much film shows mature comic flair previous films point. there's ample support Ryan O'Neal (in best role years) Christopher MacDonald. Masterson's natural charm pretty much coasts own, either way making character seem like breath fresh air every word.<br /><br />Ardolino makes good use cast's sex appeal way ""Dirty Dancing"", film quite sizzling could still watch parents happened room. (Use best judgment, they're parents all.) give film high mark user friendly, romantic comedy enthusiasts find sublime, watching along find plenty humor enjoy well.<br /><br />Again, credit goes Emile Ardolino making charming script Randy Perry Howze. (Where now?) Ardolino's next film would phoned-in sequel ""Three Men Baby"" final theatrical release (Sister Act) would finally give nine-figure-grossing smash hit deserved. Mr. Ardolino, cinematic touch missed!",1
"people, think expressionist cinema, look b&w German films silent early sound eras--films emphasized canted angles, extreme contrasts light dark, exaggerated performance, occasional uses surrealism create dreamlike atmosphere order diverge traditional, naturalistic modes cinematic representation. we're willing accept Germans filmmakers create expressionist cinema (and above-mentioned characteristics prerequisites expressionist film), would argue Dodes'ka-den (DKD) prime example type film. <br /><br />Like Dreams, DKD little unhinged Kurosawa film, dabbling, does, unreal. However, DKD also, unlike Dreams, great film probably favorite Kurosawa picture. Why? Mostly, think, it's colors. was, believe, Kurosawa's first color film, man saturates movie vibrant primary colors, creating completely unreal contemporary Japan. used neon lights gleaming Tokyo skyscrapers; used city appears colored crayons. <br /><br />DKD is, said, peculiar film inasmuch many characters live junkyard, appearing live alternate universe. is, think, point--these Tokyo outsiders, people left behind great move forward following World War II. film also represents one Kurosawa's heartfelt movies; genuine sentiment genuine pathos (such boy's father describes dream home). It's amazingly moving film man better known stunning, John Ford-like vistas samurais. Everyone known Kurosawa movie touching thought provoking (Ikiru foreshadows emotional resonance film many ways). <br /><br />I also argue, last, Kurosawa's greatest achievement. samurai films, though capable pictures, pale comparison works Kobayashi (Hara-kiri greatest, intelligent samurai film committed celluloid). Rashomon, Hidden Fortress, Seven Samurai, Yojimbo, Sanjuro, Kagemusha, Ran fine films, they're merely good (and, frankly, think word generous Hidden Fortress Kagemusha). DKD great movie, Ikiru. crown jewels show Akira one-trick samurai pony. reveal artistry mastery cinema.",1
"Unlike comments, mine positive. movie wraps around dinner table group friends, like, don't. related--mother, daughter, son. stories one smooth, happy everyone everything, type life--much like real life. story lines evolve, happen. like true families good friends, stick together. wanna-be parents buying baby a--holes! happy ending. Poor Delmar stuck rock boulder taking care herself, mom, son, trying keep lives together. end sunset walk house 'burbs living dream world, real life portrayal people living day day, month month. Overall, good story great movie!!",1
"Typical formula action film: good cop gets entangled mess crooked cops Japanese gangsters.<br /><br />The okay result decent performances, fleeting snicker-inducing moments, fair action sequences--plus chance check gorgeous Danielle Harris--who makes perpetual typecasting rebellious teen daughter.<br /><br />** ****.",0
"low budget indies go, usually find get pay for, let say, didn't pay much ""Frightworld""...<br /><br />Writer / Director: David R. Williams brings us story abandoned amusement park, besieged vengeful spirit slain serial killer. bad premise, executed bevy low budget mistakes. camera work tries cleaver it's audience, constantly using shaky quick-cuts cover fact really nothing gory scary show us. becomes evident right bat, introduced would-be killer, soon realize (acting) scariest thing happening... painfully long title sequence brought back modern times, yet acting remains same. ""Frightworld"" generate rather unique cinematography showing scenery inside fun-house, extremely long running time, can't save film it's average indie hell.<br /><br />There mediocre nudity, much gore, usually saving grace types movies.<br /><br />Fans really bad B-Movies might find something interest here, otherwise, don't spend lot cash.",0
